sample,env,delta_T,asv,fold,model,R2,R2_pooled,n_present,included
Water-B,Water,2,2,6,endpoint,0.22813666127441046,0.19626624040679563,8,True
Water-B,Water,2,2,7,endpoint,0.25269036142901236,0.19626624040679563,8,True
Water-B,Water,2,2,8,endpoint,0.2687587378124461,0.19626624040679563,8,True
Water-B,Water,2,2,1,linextrap,-2.8997242628450475,-4.597128788346437,8,True
Water-B,Water,2,2,2,linextrap,-3.7538942344028134,-4.597128788346437,8,True
Water-B,Water,2,2,3,linextrap,-5.367184554255315,-4.597128788346437,8,True
Water-B,Water,2,2,4,linextrap,-4.922866461612617,-4.597128788346437,8,True
Water-B,Water,2,2,5,linextrap,-4.003840057581419,-4.597128788346437,8,True
Water-B,Water,2,2,6,linextrap,-5.593453581098715,-4.597128788346437,8,True
Water-B,Water,2,2,7,linextrap,-4.890957664171182,-4.597128788346437,8,True
Water-B,Water,2,2,8,linextrap,-4.884769169244159,-4.597128788346437,8,True
Water-B,Water,2,3,1,OLS,-1.3205453812204735,-0.5602869324864377,8,True
Water-B,Water,2,3,2,OLS,0.05791239058778119,-0.5602869324864377,8,True
Water-B,Water,2,3,3,OLS,-0.2585751562776344,-0.5602869324864377,8,True
Water-B,Water,2,3,4,OLS,0.1231327977708161,-0.5602869324864377,8,True
Water-B,Water,2,3,5,OLS,-0.198838257425356,-0.5602869324864377,8,True
Water-B,Water,2,3,6,OLS,0.11044559759123607,-0.5602869324864377,8,True
Water-B,Water,2,3,7,OLS,0.20368374465624572,-0.5602869324864377,8,True
Water-B,Water,2,3,8,OLS,0.06434767417214715,-0.5602869324864377,8,True
Water-B,Water,2,3,1,OLS_raw,-0.6445390848496007,-0.248675336970265,8,True
Water-B,Water,2,3,2,OLS_raw,-0.08060005577436646,-0.248675336970265,8,True
Water-B,Water,2,3,3,OLS_raw,-0.8300344665262649,-0.248675336970265,8,True
Water-B,Water,2,3,4,OLS_raw,-0.0419870738931758,-0.248675336970265,8,True
Water-B,Water,2,3,5,OLS_raw,0.17537318916901534,-0.248675336970265,8,True
Water-B,Water,2,3,6,OLS_raw,0.08951956832773322,-0.248675336970265,8,True
Water-B,Water,2,3,7,OLS_raw,0.21113587585064275,-0.248675336970265,8,True
Water-B,Water,2,3,8,OLS_raw,-0.3039736959899959,-0.248675336970265,8,True
Water-B,Water,2,3,1,endpoint,-0.7036373930100002,-0.26619041903446905,8,True
Water-B,Water,2,3,2,endpoint,0.0646724589147969,-0.26619041903446905,8,True
Water-B,Water,2,3,3,endpoint,0.05709364661327099,-0.26619041903446905,8,True
Water-B,Water,2,3,4,endpoint,0.12044599014990509,-0.26619041903446905,8,True
Water-B,Water,2,3,5,endpoint,0.09323828600013728,-0.26619041903446905,8,True
Water-B,Water,2,3,6,endpoint,0.09636072915013338,-0.26619041903446905,8,True
Water-B,Water,2,3,7,endpoint,0.1869209092311347,-0.26619041903446905,8,True
Water-B,Water,2,3,8,endpoint,0.15225560993340048,-0.26619041903446905,8,True
Water-B,Water,2,3,1,linextrap,-3.0399051629462592,-3.53878651215041,8,True
Water-B,Water,2,3,2,linextrap,-4.518526302897769,-3.53878651215041,8,True
Water-B,Water,2,3,3,linextrap,-4.161849449128893,-3.53878651215041,8,True
Water-B,Water,2,3,4,linextrap,-4.714293643462844,-3.53878651215041,8,True
Water-B,Water,2,3,5,linextrap,-3.90687771444982,-3.53878651215041,8,True
Water-B,Water,2,3,6,linextrap,-4.457153766858942,-3.53878651215041,8,True
Water-B,Water,2,3,7,linextrap,-3.3547515568932003,-3.53878651215041,8,True
Water-B,Water,2,3,8,linextrap,-4.53402454353277,-3.53878651215041,8,True
